zip_code_id,primary_city,county,state,state_short,country,latitude,longitude
72901,Fort Smith,Sebastian County,Arkansas,AR,US,"35,37","-94,42"
72902,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72903,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72904,Fort Smith,Sebastian County,Arkansas,AR,US,"35,41","-94,38"
72905,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72906,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72908,Fort Smith,Sebastian County,Arkansas,AR,US,"35,31","-94,41"
72913,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72914,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72916,Fort Smith,Sebastian County,Arkansas,AR,US,"35,26","-94,39"
72917,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72918,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72919,Fort Smith,Sebastian County,Arkansas,AR,US,"35,36","-94,38"
72921,Alma,Crawford County,Arkansas,AR,US,"35,48","-94,22"
72923,Barling,Sebastian County,Arkansas,AR,US,"35,32","-94,3"
72926,Boles,Scott County,Arkansas,AR,US,"34,71","-94,02"
72927,Booneville,Logan County,Arkansas,AR,US,"35,13","-93,91"
72928,Branch,Franklin County,Arkansas,AR,US,"35,3","-93,95"
72930,Cecil,Franklin County,Arkansas,AR,US,"35,43","-93,95"
72932,Cedarville,Crawford County,Arkansas,AR,US,"35,57","-94,37"
72933,Charleston,Franklin County,Arkansas,AR,US,"35,29","-94,04"
72934,Chester,Crawford County,Arkansas,AR,US,"35,67","-94,17"
72935,Dyer,Crawford County,Arkansas,AR,US,"35,49","-94,13"
72936,Greenwood,Sebastian County,Arkansas,AR,US,"35,21","-94,23"
72937,Hackett,Sebastian County,Arkansas,AR,US,"35,18","-94,41"
72938,Hartford,Sebastian County,Arkansas,AR,US,"35,02","-94,37"
72940,Huntington,Sebastian County,Arkansas,AR,US,"35,08","-94,26"
72941,Lavaca,Sebastian County,Arkansas,AR,US,"35,33","-94,18"
72943,Magazine,Logan County,Arkansas,AR,US,"35,15","-93,8"
72944,Mansfield,Sebastian County,Arkansas,AR,US,"35,05","-94,24"
72945,Midland,Sebastian County,Arkansas,AR,US,"35,09","-94,35"
72946,Mountainburg,Crawford County,Arkansas,AR,US,"35,63","-94,16"
72947,Mulberry,Crawford County,Arkansas,AR,US,"35,5","-94,07"
72948,Natural Dam,Crawford County,Arkansas,AR,US,"35,65","-94,4"
72949,Ozark,Franklin County,Arkansas,AR,US,"35,49","-93,84"
72950,Parks,Scott County,Arkansas,AR,US,"34,79","-93,87"
72951,Ratcliff,Logan County,Arkansas,AR,US,"35,3","-93,88"
72952,Rudy,Crawford County,Arkansas,AR,US,"35,52","-94,27"
72955,Uniontown,Crawford County,Arkansas,AR,US,"35,61","-94,44"
72956,Van Buren,Crawford County,Arkansas,AR,US,"35,44","-94,35"
72957,Van Buren,Crawford County,Arkansas,AR,US,"35,44","-94,35"
72958,Waldron,Scott County,Arkansas,AR,US,"34,89","-94,09"
72959,Winslow,Washington County,Arkansas,AR,US,"35,8","-94,13"
73001,Albert,Caddo County,Oklahoma,OK,US,"35,23","-98,4"
73002,Alex,Grady County,Oklahoma,OK,US,"34,92","-97,77"
73003,Edmond,Oklahoma County,Oklahoma,OK,US,"35,67","-97,5"
73004,Amber,Grady County,Oklahoma,OK,US,"35,16","-97,88"
73005,Anadarko,Caddo County,Oklahoma,OK,US,"35,06","-98,24"
73006,Apache,Caddo County,Oklahoma,OK,US,"34,89","-98,35"
73007,Arcadia,Oklahoma County,Oklahoma,OK,US,"35,66","-97,32"
73008,Bethany,Oklahoma County,Oklahoma,OK,US,"35,5","-97,64"
73009,Binger,Caddo County,Oklahoma,OK,US,"35,3","-98,34"
73010,Blanchard,McClain County,Oklahoma,OK,US,"35,14","-97,65"
73011,Bradley,Grady County,Oklahoma,OK,US,"34,87","-97,7"
73012,Edmond,Oklahoma County,Oklahoma,OK,US,"35,65","-97,52"
73013,Edmond,Oklahoma County,Oklahoma,OK,US,"35,62","-97,48"
73014,Calumet,Canadian County,Oklahoma,OK,US,"35,6","-98,12"
73015,Carnegie,Caddo County,Oklahoma,OK,US,"35,1","-98,59"
73016,Cashion,Logan County,Oklahoma,OK,US,"35,8","-97,67"
73017,Cement,Caddo County,Oklahoma,OK,US,"34,93","-98,13"
73018,Chickasha,Grady County,Oklahoma,OK,US,"35,04","-97,95"
73019,Norman,Cleveland County,Oklahoma,OK,US,"35,21","-97,44"
73020,Choctaw,Oklahoma County,Oklahoma,OK,US,"35,48","-97,26"
73021,Colony,Washita County,Oklahoma,OK,US,"35,34","-98,67"
73022,Concho,Canadian County,Oklahoma,OK,US,"35,62",-98
73023,Chickasha,Grady County,Oklahoma,OK,US,"35,04","-97,95"
73024,Corn,Washita County,Oklahoma,OK,US,"35,37","-98,78"
73025,Edmond,Oklahoma County,Oklahoma,OK,US,"35,73","-97,58"
73026,Norman,Cleveland County,Oklahoma,OK,US,"35,22","-97,34"
73027,Coyle,Payne County,Oklahoma,OK,US,"35,95","-97,23"
73028,Crescent,Logan County,Oklahoma,OK,US,"35,94","-97,58"
73029,Cyril,Caddo County,Oklahoma,OK,US,"34,89","-98,2"
73030,Davis,Murray County,Oklahoma,OK,US,"34,48","-97,13"
73031,Dibble,McClain County,Oklahoma,OK,US,"35,03","-97,62"
73032,Dougherty,Murray County,Oklahoma,OK,US,"34,39","-97,05"
73033,Eakly,Caddo County,Oklahoma,OK,US,"35,3","-98,55"
73034,Edmond,Oklahoma County,Oklahoma,OK,US,"35,67","-97,41"
73036,El Reno,Canadian County,Oklahoma,OK,US,"35,54","-97,96"
73038,Fort Cobb,Caddo County,Oklahoma,OK,US,"35,1","-98,44"
73039,Davis,Murray County,Oklahoma,OK,US,"34,62","-97,48"
73040,Geary,Blaine County,Oklahoma,OK,US,"35,62","-98,31"
73041,Gotebo,Kiowa County,Oklahoma,OK,US,"35,07","-98,87"
73042,Gracemont,Caddo County,Oklahoma,OK,US,"35,18","-98,25"
73043,Greenfield,Blaine County,Oklahoma,OK,US,"35,72","-98,37"
73044,Guthrie,Logan County,Oklahoma,OK,US,"35,84","-97,42"
73045,Harrah,Oklahoma County,Oklahoma,OK,US,"35,48","-97,18"
73047,Hinton,,Oklahoma,OK,US,"35,49","-98,35"
73048,Hydro,Caddo County,Oklahoma,OK,US,"35,54","-98,57"
73049,Jones,Oklahoma County,Oklahoma,OK,US,"35,56","-97,29"
73050,Langston,Logan County,Oklahoma,OK,US,"35,94","-97,26"
73051,Lexington,Cleveland County,Oklahoma,OK,US,"35,01","-97,33"
73052,Lindsay,Garvin County,Oklahoma,OK,US,"34,83","-97,6"
73053,Lookeba,Caddo County,Oklahoma,OK,US,"35,36","-98,36"
73054,Luther,Oklahoma County,Oklahoma,OK,US,"35,66","-97,18"
73055,Marlow,Stephens County,Oklahoma,OK,US,"34,63","-97,96"
73056,Marshall,Logan County,Oklahoma,OK,US,"36,15","-97,62"
73057,Maysville,Garvin County,Oklahoma,OK,US,"34,81","-97,41"
73058,Meridian,Logan County,Oklahoma,OK,US,"35,82","-97,22"
73059,Minco,Grady County,Oklahoma,OK,US,"35,31","-97,95"
73061,Morrison,Noble County,Oklahoma,OK,US,"36,29","-97,01"
73062,Mountain View,Kiowa County,Oklahoma,OK,US,"35,09","-98,75"
73063,Mulhall,Logan County,Oklahoma,OK,US,"36,06","-97,4"
73064,Mustang,Canadian County,Oklahoma,OK,US,"35,39","-97,72"
73065,Newcastle,McClain County,Oklahoma,OK,US,"35,24","-97,59"
73066,Nicoma Park,Oklahoma County,Oklahoma,OK,US,"35,5","-97,33"
73067,Ninnekah,Grady County,Oklahoma,OK,US,"34,95","-97,92"
73068,Noble,Cleveland County,Oklahoma,OK,US,"35,14","-97,37"
73069,Norman,Cleveland County,Oklahoma,OK,US,"35,25","-97,46"
73070,Norman,Cleveland County,Oklahoma,OK,US,"35,22","-97,34"
73071,Norman,Cleveland County,Oklahoma,OK,US,"35,24","-97,41"
73072,Norman,Cleveland County,Oklahoma,OK,US,"35,21","-97,5"
73073,Orlando,Logan County,Oklahoma,OK,US,"36,14","-97,37"
73074,Paoli,Garvin County,Oklahoma,OK,US,"34,82","-97,26"
73075,Pauls Valley,Garvin County,Oklahoma,OK,US,"34,72","-97,22"
73077,Perry,Noble County,Oklahoma,OK,US,"36,28","-97,3"
73078,Piedmont,Canadian County,Oklahoma,OK,US,"35,67","-97,75"
73079,Pocasset,Grady County,Oklahoma,OK,US,"35,2","-97,93"
73080,Purcell,McClain County,Oklahoma,OK,US,"35,01","-97,37"
73082,Rush Springs,Grady County,Oklahoma,OK,US,"34,77","-97,95"
73083,Edmond,Oklahoma County,Oklahoma,OK,US,"35,67","-97,41"
73084,Spencer,Oklahoma County,Oklahoma,OK,US,"35,53","-97,34"
73085,Yukon,Canadian County,Oklahoma,OK,US,"35,51","-97,76"
73086,Sulphur,Murray County,Oklahoma,OK,US,"34,5","-96,97"
73089,Tuttle,Grady County,Oklahoma,OK,US,"35,29","-97,75"
73090,Union City,Canadian County,Oklahoma,OK,US,"35,4","-97,95"
73092,Verden,Grady County,Oklahoma,OK,US,"35,08","-98,08"
73093,Washington,McClain County,Oklahoma,OK,US,"35,11","-97,49"
73094,Washita,Caddo County,Oklahoma,OK,US,"35,1","-98,34"
